resolution,parcel_idx,rho,r2,x,y,z,hemi
200,128,0.6113718423677537,0.9998816739345636,33.73421924152402,-38.76331486486799,-23.52695965246342,rh
200,129,0.6030767616441016,0.9998941199018365,33.23178140090447,-45.99464692503632,-18.166475217028488,rh
200,130,0.6018933724051894,0.999891902383229,22.959162550284056,-80.4520572634426,6.557915456949633,rh
200,131,0.5993556566009246,0.999896313702305,26.430476287751524,-86.95189926495732,14.919142107975587,rh
200,132,0.5966901288665685,0.9999113488299182,10.275222247423393,-73.99843083781549,20.240855626405384,rh
200,133,0.5966482516004995,0.9999132196569017,29.354267305461548,-81.14855021670053,20.990279657638876,rh
200,134,0.597228099192752,0.999907759380372,15.407076226747648,-82.06139834030907,33.753496082819936,rh
200,135,0.595158566204356,0.9999177904138494,26.223940292994182,-74.16139449013605,34.68717503106153,rh
200,136,0.6029472972479255,0.9998877885637135,31.439733627366664,-64.02397842448721,-12.385238603454567,rh
200,137,0.6080215495320582,0.9998809778128073,20.795705427805053,-55.12249137461991,-10.50825822290373,rh
200,138,0.6078510881538487,0.9998724094868923,34.092499434878796,-78.03152236506833,-9.459076297412025,rh
200,139,0.6066145212494698,0.999877757030294,25.65721668457187,-79.50346472462877,-7.916557316815828,rh
200,140,0.6062223785936359,0.9998780635502932,18.289055960986254,-77.14112915130687,-6.522162292058316,rh
200,141,0.6037556757741157,0.9998835414067214,13.413342913480992,-69.5790844838632,-1.232640149946632,rh
200,142,0.6069409815286738,0.9998808331670964,29.692618193964726,-59.47460999084058,3.9290591105098094,rh
200,143,0.5993607502922838,0.999901341646558,21.326292111579527,-80.9096155463678,6.750809302168677,rh
