resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z
400,113,0.6059271832583375,0.9998859153239915,7Networks_LH_SalVentAttn_FrOperIns_4-lh,lh,SalVentAttn,-40.23415162386142,-16.420856948315397,-3.941731276541112
400,114,0.6007341713364748,0.9999078472828048,7Networks_LH_SalVentAttn_FrOperIns_5-lh,lh,SalVentAttn,-32.974421531985506,19.40142974371862,7.906767452124393
400,115,0.6027026887528514,0.9998928779247376,7Networks_LH_SalVentAttn_FrOperIns_6-lh,lh,SalVentAttn,-35.928958713498886,4.822265129268403,10.04293815226976
400,116,0.6069251044141623,0.9998787378189274,7Networks_LH_SalVentAttn_FrOperIns_7-lh,lh,SalVentAttn,-44.15241681496928,12.027876529637284,1.954714645833276
400,117,0.605807719815932,0.9998831979278306,7Networks_LH_SalVentAttn_FrOperIns_8-lh,lh,SalVentAttn,-51.096116187164135,0.163706507318967,3.985929608473668
400,118,0.6056518828913864,0.9998808821596578,7Networks_LH_SalVentAttn_FrOperIns_9-lh,lh,SalVentAttn,-51.86575559607135,8.562580772968525,12.651200385378376
400,119,0.5974413827200193,0.999923497813559,7Networks_LH_SalVentAttn_Med_1-lh,lh,SalVentAttn,-7.622988210197239,19.573154094349984,32.80045354014207
400,120,0.5968926766783215,0.9999309024302103,7Networks_LH_SalVentAttn_Med_2-lh,lh,SalVentAttn,-6.89563837940768,0.8559452925412733,41.32250199355478
400,121,0.600401897204216,0.9998954094162393,7Networks_LH_SalVentAttn_Med_3-lh,lh,SalVentAttn,-12.766133691386171,-24.88988610920153,41.19620874906841
400,122,0.5995440141541085,0.9999246907933178,7Networks_LH_SalVentAttn_Med_4-lh,lh,SalVentAttn,-7.273161498623826,8.181929967880901,46.825313479857456
400,123,0.595929178172692,0.9999117755452811,7Networks_LH_SalVentAttn_Med_5-lh,lh,SalVentAttn,-14.46428824674244,-39.05645511824771,45.86814254720214
400,124,0.5969356300871532,0.9999223841670027,7Networks_LH_SalVentAttn_Med_6-lh,lh,SalVentAttn,-7.996972425284158,-47.905287310632026,56.66460163651948
400,125,0.5992258598402147,0.9998975139315923,7Networks_LH_SalVentAttn_Med_7-lh,lh,SalVentAttn,-9.581735411692527,-4.7751348625948085,68.61623965108336
400,126,0.6032724260159417,0.9998967327963972,7Networks_LH_SalVentAttn_PFCl_1-lh,lh,SalVentAttn,-30.43239820530984,39.53049867765039,25.725265998755937
400,127,0.6007955772626214,0.9998966041480285,7Networks_LH_SalVentAttn_ParOper_1-lh,lh,SalVentAttn,-53.007303389158544,-35.49347277359816,21.68828773603565
400,128,0.6029869016639005,0.9998868387661644,7Networks_LH_SalVentAttn_ParOper_2-lh,lh,SalVentAttn,-57.54926100154381,-45.50295204227253,25.69512326030408
400,129,0.6045513757104893,0.9998818178208557,7Networks_LH_SalVentAttn_ParOper_3-lh,lh,SalVentAttn,-59.68074720102058,-24.800348331803395,30.209649454625765
400,130,0.6040221590485438,0.9998830322467869,7Networks_LH_SalVentAttn_ParOper_4-lh,lh,SalVentAttn,-60.27880584389154,-37.42226658276985,34.42161412911912
400,131,0.6045675734925717,0.9998796455192615,7Networks_LH_SalVentAttn_TempOcc_1-lh,lh,SalVentAttn,-53.62599159361529,-54.918923530160434,7.941994568516798
400,132,0.6044561548441895,0.9998924015658356,7Networks_LH_SomMot_1-lh,lh,SomMot,-49.10716878647772,-13.393378912210798,0.4076897875755875
400,133,0.6019525568197371,0.9998934032523915,7Networks_LH_SomMot_10-lh,lh,SomMot,-48.60821804058589,-25.19058727096988,17.03619863844964
400,134,0.6050733427778802,0.9998803241946239,7Networks_LH_SomMot_11-lh,lh,SomMot,-60.038825685568085,-19.98567181373921,18.521731339629167
400,135,0.6045209321768242,0.9998849165829192,7Networks_LH_SomMot_12-lh,lh,SomMot,-58.84164334007316,-5.112528729102339,22.820865601232047
400,136,0.6048753219533518,0.9998801372045147,7Networks_LH_SomMot_13-lh,lh,SomMot,-62.35561814361916,-12.373987597159909,31.45366324088424
400,137,0.5995595819287983,0.9999040370162321,7Networks_LH_SomMot_14-lh,lh,SomMot,-50.190783267419775,-10.547492154242454,28.733875165413775
400,138,0.6011464218433881,0.9998938482138429,7Networks_LH_SomMot_15-lh,lh,SomMot,-53.3214094234946,-23.75585824414029,37.91048008757211
400,139,0.5993216038475525,0.9999046798224568,7Networks_LH_SomMot_16-lh,lh,SomMot,-49.83749240769976,-10.013368644769963,40.2321214262352
400,140,0.5982144958284243,0.999907478770478,7Networks_LH_SomMot_17-lh,lh,SomMot,-45.774021628853326,-17.987458420800163,37.90019580200836
400,141,0.5975740923063311,0.9999073365086212,7Networks_LH_SomMot_18-lh,lh,SomMot,-8.743129790720923,-13.75252651180579,45.59628399935636
400,142,0.5973254541340672,0.9999157590536454,7Networks_LH_SomMot_19-lh,lh,SomMot,-38.86746629572385,-16.22310636275578,44.99045438457107
400,143,0.604383037371768,0.9998848447208487,7Networks_LH_SomMot_2-lh,lh,SomMot,-56.10931351951565,-23.69945911513901,5.707054936435079
400,144,0.5992523516531859,0.9999021017126165,7Networks_LH_SomMot_20-lh,lh,SomMot,-46.825092743854135,-19.557366211803597,52.93963616234915
400,145,0.6004163571365246,0.9999027135405572,7Networks_LH_SomMot_21-lh,lh,SomMot,-46.16054633649737,-30.398967910518845,54.6225489349511
400,146,0.59818035902511,0.9999232008123303,7Networks_LH_SomMot_22-lh,lh,SomMot,-36.92225503634833,-24.852956129697137,48.816611440960536
400,147,0.5952144499196846,0.9999157396043848,7Networks_LH_SomMot_23-lh,lh,SomMot,-10.595498790968524,-36.98443543109356,51.43822518967237
400,148,0.5998735635443806,0.999922672123498,7Networks_LH_SomMot_24-lh,lh,SomMot,-4.910091947092869,-23.9275973102834,54.10443394727046
400,149,0.5985288381180642,0.999906012746444,7Networks_LH_SomMot_25-lh,lh,SomMot,-4.144896760297461,-9.14335792123472,57.2605713372943
400,150,0.599833475852164,0.9999169095140656,7Networks_LH_SomMot_26-lh,lh,SomMot,-35.46460509877983,-19.694496308081757,60.009912207361566
400,151,0.5982239774200078,0.9999119732901173,7Networks_LH_SomMot_27-lh,lh,SomMot,-30.09208316156825,-44.93929588001974,58.88197968505706
400,152,0.5992508235030035,0.999916251327376,7Networks_LH_SomMot_28-lh,lh,SomMot,-33.50274708048503,-28.586031125386555,58.95554850260417
400,153,0.5988575465643015,0.9999102224343842,7Networks_LH_SomMot_29-lh,lh,SomMot,-30.132549316611065,-36.48280794796528,60.82360043621704
400,154,0.6001632745850183,0.9999017823435457,7Networks_LH_SomMot_3-lh,lh,SomMot,-36.600375378225735,-24.48510210232472,8.472105336007406
400,155,0.6001121909607326,0.999912814037353,7Networks_LH_SomMot_30-lh,lh,SomMot,-26.147134152439435,-11.438259468999265,60.13442602888109
400,156,0.5989091630614785,0.9999070648724089,7Networks_LH_SomMot_31-lh,lh,SomMot,-22.04363322725483,-26.53818640989416,60.84053631202848
