parcel_idx,n_subjects,total_power,spectral_exponent,spectral_exponent_r2,delta_power,theta_power,alpha_power,beta_power,gamma_power,gamma_delta_ratio,fast_slow_ratio,peak_freq
198,203,0.8028582390966734,0.16462264085015837,0.6264103239707177,0.09198292001477398,0.09184336344829025,0.11726866819051358,0.32209289229377014,0.17967039514932545,2.0043484865930363,2.774666667148151,1.9261083743842364
199,203,0.7936490542117645,0.13678507786340968,0.5764834298782384,0.08609774810870899,0.08684561380699443,0.12040266254198838,0.3194996594105736,0.18080337034349894,2.2324566851905847,3.02383094842502,2.9261083743842367
200,203,0.8148154509205311,0.3123163909869121,0.8085138610964961,0.109097453792092,0.10695940613403025,0.133333767515887,0.3095229340669058,0.155901889411616,1.4478533555235995,2.1717545267333964,1.8497536945812807
201,203,0.7841822122322842,0.4892624883775992,0.8608702046924137,0.1330121005600221,0.12545543349884677,0.130200367279243,0.27402347481331407,0.12149083608085826,0.9424629273282948,1.5652594144825243,1.5492610837438423
202,203,0.7068813868256706,0.3150346926276208,0.7248476820456404,0.14674786244597862,0.08749014522010594,0.08281393066289411,0.2533786109503855,0.13645083754630646,1.0034779244455503,1.7310436842672856,1.0073891625615763
203,203,0.8170892406409268,0.5540678950176835,0.8422676228846363,0.15176094480971006,0.13712861340383634,0.12392932317306297,0.2912270758702393,0.1130432833840782,0.783249005734225,1.4520834381694865,1.2413793103448276
204,203,0.72748453075679,0.3670653251046543,0.8086084503854082,0.11550214862943199,0.10634171444108144,0.09706884219083439,0.280413209587059,0.1281586159083831,1.208476143848925,1.9416875167251542,1.041871921182266
205,203,0.7586941275148525,0.39727791213513525,0.819957123876962,0.11689944664376913,0.11249995968938366,0.11141264586266758,0.2887908990907245,0.1290911762283078,1.1807040291121824,1.8996038012067975,1.312807881773399
206,203,0.828070351738154,0.42962532062406444,0.8292295792109675,0.12884637900894663,0.12681669725860636,0.1275832417855403,0.30856188821157104,0.13626214547348967,1.1291529280428978,1.8140194179249771,1.3940886699507389
207,203,0.7778430245432949,0.4343899886224063,0.8397264419859731,0.12533169026426036,0.1222765969709904,0.11298540919658162,0.2891890125836201,0.1280603155278423,1.1092877827792493,1.774763017174914,1.3029556650246306
208,203,0.7697852090715707,0.5758367921894129,0.8392177808047032,0.13618009202592715,0.14183047646887487,0.11828092991234884,0.2675879141546249,0.10590579650979506,0.8361449677049285,1.4153470387530886,1.6527093596059113
209,203,0.7246074543595946,0.33333603117078736,0.7981743657581863,0.14542940717093136,0.0940329430566349,0.08843606187563635,0.2596361726597218,0.1370728695966704,1.0096314686056767,1.7154752510971383,1.0123152709359606
210,203,0.7480278887472441,0.40674764902898575,0.8429392352192835,0.15344128040617455,0.10294488830274652,0.09678129774058883,0.2673403886203341,0.12752003367740022,0.9078021040352107,1.617156682194104,1.0024630541871922
