parcel_name,tau,tau_r2,rho,rho_max,x,y,z,network,hierarchy,hemi
7Networks_RH_Cont_PFCl_6-rh,23.980539715252057,0.8733080823293186,0.5750452711836815,0.9747781976617002,44.20416911391063,28.064097767048896,16.029124692680533,Cont,4,rh
7Networks_RH_Cont_PFCl_7-rh,22.023044213229447,0.8885054458949223,0.5726937603952371,0.974396523241612,42.02085528443693,18.797566434513392,21.154990662126426,Cont,4,rh
7Networks_RH_Cont_PFCl_8-rh,31.235436435939633,0.897778248593101,0.5726320389099127,0.9747305580333466,24.187250020283276,47.33774513249296,21.997070225596815,Cont,4,rh
7Networks_RH_Cont_PFCl_9-rh,19.765546074968444,0.8841595901589236,0.5742054606554373,0.9746290873829997,44.50692862678224,27.585470102703535,26.789346781487648,Cont,4,rh
7Networks_RH_Cont_PFCmp_1-rh,26.55906407117603,0.9129845260117654,0.5689619541033165,0.9740411857527927,11.271244635737867,31.50846499527576,25.752592247852398,Cont,4,rh
7Networks_RH_Cont_PFCmp_2-rh,23.11020685641402,0.9042512908415632,0.5693456404096013,0.9741433096509161,7.975966781053084,25.67806593754968,46.51491470906512,Cont,4,rh
7Networks_RH_Cont_PFCv_1-rh,34.596945852762836,0.9131084857590903,0.5719778813730281,0.9751153368208635,31.589197073568275,21.634269142853302,-5.90980362532498,Cont,4,rh
7Networks_RH_Cont_Par_1-rh,17.107636454513717,0.862063649954674,0.5743519646318894,0.9752702358931146,49.058432316129235,-55.80668911958734,40.27093690552417,Cont,4,rh
7Networks_RH_Cont_Par_2-rh,16.492541546269887,0.8685026713842277,0.5716909077611059,0.9746985710333468,50.799714371562004,-46.76864513754845,38.722525388002396,Cont,4,rh
7Networks_RH_Cont_Par_3-rh,29.734289914720286,0.8086313078398311,0.5694291550779093,0.9742510685104244,33.42874026696744,-66.4467973313455,40.68205389354763,Cont,4,rh
7Networks_RH_Cont_Par_4-rh,15.21660954739473,0.8787482342574264,0.5713260258061096,0.9745413282518391,49.16773095247756,-38.35918093713465,42.01235186884816,Cont,4,rh
7Networks_RH_Cont_Par_5-rh,17.589409404197692,0.8555303730305078,0.5695865040099157,0.9743607807460686,43.09716927749452,-48.99235039866015,38.730350913785735,Cont,4,rh
7Networks_RH_Cont_Par_6-rh,22.434001267322515,0.8256124915223734,0.5700341566522,0.9743624163571735,37.98904658043793,-57.63656415602402,42.10644100139954,Cont,4,rh
7Networks_RH_Cont_Temp_1-rh,24.500247705039246,0.8733595501903472,0.5791237074793267,0.9766007376294329,56.67548289542402,-34.86688990257934,-18.546782459279616,Cont,4,rh
7Networks_RH_Cont_Temp_2-rh,18.429054969245627,0.8479869608465094,0.5827756331343461,0.9770433000640302,58.256486687861695,-46.378575354604656,-9.505295895636868,Cont,4,rh
7Networks_RH_Cont_pCun_1-rh,35.80364713559466,0.7920048389037554,0.5663609783274712,0.9736606095009356,13.466540722020314,-68.97617072254592,37.14413676583181,Cont,4,rh
7Networks_RH_Cont_pCun_2-rh,30.97414364119373,0.7910467775995416,0.5672153179907656,0.9735751897420752,7.852201057657895,-62.190376946654105,43.46496327159781,Cont,4,rh
7Networks_RH_Default_PFCdPFCm_1-rh,42.94608478578512,0.9207704760128769,0.572508375396623,0.9751802082315697,8.6118453337066,37.08040380382492,-9.297955743288014,Default,5,rh
7Networks_RH_Default_PFCdPFCm_10-rh,22.928732268610183,0.8973611938609716,0.5702634408529421,0.9743497217258142,24.693623709026724,29.88947093752878,37.63130825079445,Default,5,rh
7Networks_RH_Default_PFCdPFCm_11-rh,21.827165768299633,0.9082214292580494,0.5718980012244889,0.9748038204335885,12.757921536058403,35.46817772680757,48.59766440571141,Default,5,rh
7Networks_RH_Default_PFCdPFCm_12-rh,21.081852718557542,0.8957875314931133,0.5699601855230214,0.9741847097877375,22.334307318387594,19.675837353534828,47.567994683822626,Default,5,rh
7Networks_RH_Default_PFCdPFCm_13-rh,18.925019574977085,0.9099503314700592,0.5704635991585908,0.974525720385448,12.533816060894004,17.42013530487576,59.076576997590344,Default,5,rh
7Networks_RH_Default_PFCdPFCm_2-rh,40.93462691713248,0.887960168938413,0.5806110707400081,0.9761862606913574,11.455655616763943,61.857507951427934,1.634327021107254,Default,5,rh
7Networks_RH_Default_PFCdPFCm_3-rh,29.047518556780606,0.9205913745894666,0.5709462225396755,0.9745861120016951,11.086604564772198,38.99872597357784,5.650336926121573,Default,5,rh
