band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
betalow,28,lh.17Networks_17-1,0.21198770983627335,0.2106388267112175,0.012604486736148415,267,0.6078724947108355,0.6085041619601683,0.013097895226695999,0.6059335115087732,0.9993565644629341,1.0
betalow,29,lh.17Networks_17-3,0.20813371449320017,0.20754815132617271,0.014381034334038298,267,0.6193678848562603,0.6218108362634279,0.011808602402631813,0.7038692479532415,0.9993647417699217,1.0
betalow,30,lh.17Networks_17-11,0.19865695572027078,0.19802996776852588,0.014866726856585568,267,0.622444259641217,0.6237530839029755,0.010409916428529006,0.8582492675115014,0.9990942287962089,1.0
betalow,31,lh.17Networks_17-8,0.21365177606692737,0.21384684918930674,0.01305067419500225,267,0.6176884581675456,0.6196503293975996,0.017680113882086197,0.4908618406142355,0.9995062344620332,1.0
betalow,32,lh.17Networks_15-4,0.20944010268336877,0.20903430814040133,0.01137466175369732,267,0.6023621992975322,0.6064305371054779,0.023597427492491347,0.781456094533404,0.9992869905833011,1.0
betalow,33,lh.17Networks_15-1,0.2064132439561035,0.20471237792973118,0.012046688013755252,267,0.6098857280128658,0.6115725909358894,0.014802015151175789,0.811570259248658,0.9992049775481839,1.0
betalow,34,lh.17Networks_15-5,0.2120783975255099,0.2119982875009674,0.010645352762708952,267,0.6024897154944137,0.603902432297637,0.021470796232956734,0.7642992211835646,0.9994274832945639,1.0
betalow,35,lh.17Networks_1-2,0.21424355030957548,0.21487728845818807,0.01080746010553484,267,0.5931906938470525,0.60055742234197,0.03463539098132305,0.6924152648122288,0.9994973339607708,1.0
betalow,36,lh.17Networks_4-1,0.2177401402253451,0.21543654678824892,0.012634619620289163,267,0.6084822872023571,0.6100871670411105,0.019372568288453892,0.06691220251280702,0.9994913945699583,1.0
betalow,37,lh.17Networks_9-2,0.20789841699367523,0.20580859830902518,0.013709150791502379,267,0.6132826528157849,0.6154318057115156,0.011637205355917614,0.7092360258048326,0.9992481113839548,1.0
