parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,coverage,n_subjects
15,7Networks_LH_Cont_Par_3-lh,lh,-51.70714798822522,-53.06946920254301,39.308137758384994,0.1498750496874012,0.040111620234749276,1.0,1096
16,7Networks_LH_Cont_Par_4-lh,lh,-33.01249050057453,-60.82633115703933,41.58812086132989,0.14432716358374534,0.03819382133468664,1.0,1096
17,7Networks_LH_Cont_Par_5-lh,lh,-41.75459424227369,-54.409667524385625,40.20693772838962,0.14982552452081105,0.03902177054508281,1.0,1096
18,7Networks_LH_Cont_Par_6-lh,lh,-44.24843875250716,-44.61400144608295,42.80799689728426,0.14535455685248264,0.03821242984239994,1.0,1096
19,7Networks_LH_Cont_Temp_1-lh,lh,-60.02472139294152,-49.59256503171226,-10.852849359675368,0.15219786002752528,0.03958294536341676,1.0,1096
20,7Networks_LH_Cont_pCun_1-lh,lh,-10.760401704632644,-75.83670678375461,43.22303682016143,0.15201024254270282,0.03816432677891783,1.0,1096
21,7Networks_LH_Cont_pCun_2-lh,lh,-7.017724206677307,-60.92232099007134,51.415970837159016,0.1514192433453899,0.0400293341885284,1.0,1096
22,7Networks_LH_Default_PFC_1-lh,lh,-35.41555273520814,22.084490812704704,-15.082578042399652,0.14524075419384946,0.03780522855828041,1.0,1096
23,7Networks_LH_Default_PFC_10-lh,lh,-53.244488806094765,19.86821067858042,10.648061996735867,0.14638204699943716,0.037809680567819616,1.0,1096
24,7Networks_LH_Default_PFC_11-lh,lh,-16.652498448100907,64.12688667021891,10.012552964724776,0.14533293452761617,0.03773491592220706,1.0,1096
25,7Networks_LH_Default_PFC_12-lh,lh,-5.448136830848746,30.143438312911176,21.237053693985988,0.14600194528251878,0.03931815095927896,1.0,1096
26,7Networks_LH_Default_PFC_13-lh,lh,-5.358658399160932,49.0758804926848,27.355037936937627,0.14932410367997137,0.037121347717206064,1.0,1096
27,7Networks_LH_Default_PFC_14-lh,lh,-16.577720333903617,54.36081275852045,30.122063154449112,0.14286459626349626,0.03863119165304138,1.0,1096
28,7Networks_LH_Default_PFC_15-lh,lh,-24.65000903312796,44.89307394795034,28.692124938338456,0.14623830335195676,0.03798062018253638,1.0,1096
29,7Networks_LH_Default_PFC_16-lh,lh,-26.229546386109305,26.803473117083488,38.6378469975037,0.14556106961090284,0.03898184882807462,1.0,1096
30,7Networks_LH_Default_PFC_17-lh,lh,-41.33548079856023,18.13569087818757,45.765911541195216,0.14369578228839272,0.038685386465281274,1.0,1096
31,7Networks_LH_Default_PFC_18-lh,lh,-9.74775480605409,42.90992183266523,48.448833176237855,0.14302466996053262,0.040605026830595976,1.0,1096
32,7Networks_LH_Default_PFC_19-lh,lh,-20.882703936010376,34.39732618116795,42.4120461313348,0.14258602629324912,0.040604133317572455,1.0,1096
33,7Networks_LH_Default_PFC_2-lh,lh,-34.73836611879283,36.41457536713831,-13.202855249931073,0.151277895127979,0.04057145604807345,1.0,1096
34,7Networks_LH_Default_PFC_20-lh,lh,-42.85162354774601,4.787632482870184,45.78667462540932,0.15044591888693556,0.0401270661353786,1.0,1096
35,7Networks_LH_Default_PFC_21-lh,lh,-32.034395758731605,13.224192363553328,52.6139647658696,0.14855946795865083,0.04078054127269272,1.0,1096
36,7Networks_LH_Default_PFC_22-lh,lh,-25.162960916195274,17.890900521908165,47.82930414931579,0.14419828552950467,0.03906591351313455,1.0,1096
37,7Networks_LH_Default_PFC_23-lh,lh,-13.077377486804217,25.037361837903557,58.38545190233328,0.1458913858174552,0.041051441928375954,1.0,1096
38,7Networks_LH_Default_PFC_24-lh,lh,-7.39856478587175,10.489577521097202,63.66846887148344,0.14443945379712522,0.040184189907675284,1.0,1096
39,7Networks_LH_Default_PFC_3-lh,lh,-4.724587174592722,52.44956600132273,-9.9265980175121,0.1465394017763371,0.03946105937943691,1.0,1096
40,7Networks_LH_Default_PFC_4-lh,lh,-5.289522376148108,34.716976993096935,-8.594936791273296,0.14728200247177747,0.040103000952816444,1.0,1096
41,7Networks_LH_Default_PFC_5-lh,lh,-46.50230795114152,33.41523071644838,-10.048385246944758,0.14665534723224002,0.04066296647845894,1.0,1096
42,7Networks_LH_Default_PFC_6-lh,lh,-28.767925863574675,53.433223522907625,0.9124134181494138,0.1454304898179984,0.03989485905335647,1.0,1096
43,7Networks_LH_Default_PFC_7-lh,lh,-46.10304853360947,27.4919744831242,1.4340034216095388,0.14392996094262545,0.039104230162640495,1.0,1096
44,7Networks_LH_Default_PFC_8-lh,lh,-7.544467431338713,54.49682205118597,7.529713835653562,0.15044626796564883,0.038553821589441775,1.0,1096
