parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
194,7Networks_LH_Vis_4-lh,lh,0.011061880082009359,0.6023766228181123,0.7978240056574099,0.9998905101955886,-26.57484521249041,-54.31074229378012,-9.431516289117916,-0.0027333887447986427,-0.0024112098082436084
195,7Networks_LH_Vis_5-lh,lh,0.008693480273243941,0.6066302281328186,0.83528462543835,0.9998807040996978,-24.92466871007284,-73.26484629821778,-10.00446177037557,-0.003740523701682102,0.0021212790381567315
196,7Networks_LH_Vis_6-lh,lh,0.006396103864683071,0.6078878357248845,0.8667994087352192,0.9998704390010802,-34.64361891612201,-80.6698271388739,-16.732641611300725,-0.005863105282979976,0.002708782953029787
197,7Networks_LH_Vis_7-lh,lh,0.016706567051732284,0.6068218703497054,0.6553856232279525,0.9998880106205847,-19.014586882002664,-37.84904459166825,-12.17023153978938,0.0013583533219587978,0.0014662996180492271
198,7Networks_LH_Vis_8-lh,lh,0.006933881487044934,0.6069020255850885,0.862883918448147,0.99987351123584,-43.993360427731226,-69.29369410149238,-9.570383422120376,-0.005505836218088467,0.002287890448774532
199,7Networks_LH_Vis_9-lh,lh,0.006720737267011531,0.6084911383621977,0.8614784999039543,0.9998733177276465,-17.310307839234962,-87.84337217062439,-12.153232631997174,-0.004883700505824294,0.004031898757680508
200,7Networks_RH_Cont_Cing_1-rh,rh,0.008514921480139485,0.6047754707016172,0.8499822037208369,0.9998864479208144,4.109800150917797,-25.29359493371917,29.053500754658767,-0.004935625024736927,0.003947942422241724
201,7Networks_RH_Cont_Cing_2-rh,rh,0.013336768388283104,0.59920509288761,0.8353605141580496,0.9999040500998324,3.155343483909701,-0.2025656573961459,31.53282304703136,-0.0018007059412932878,-0.0017921338416991839
202,7Networks_RH_Cont_PFCl_1-rh,rh,0.019178337550377726,0.606781263420502,0.5964672131077211,0.999894736409744,27.986942701890204,52.30002185149051,-13.416409871879496,-0.0036968824982101453,-0.00010787391745192831
203,7Networks_RH_Cont_PFCl_10-rh,rh,0.01484850943284598,0.5984382385688621,0.8383849075467866,0.9999149984409346,36.431297569475326,11.299653027813406,30.729302708614103,-0.0016708830890329214,-0.002707622064473836
204,7Networks_RH_Cont_PFCl_11-rh,rh,0.012239632458357089,0.6022625390559377,0.8217854483394332,0.9998984940196283,37.26327935217558,30.61038870943047,36.97827252953187,-0.005266812956554609,0.0014825151878425924
205,7Networks_RH_Cont_PFCl_12-rh,rh,0.010841426613611097,0.6016777655542848,0.847594545634538,0.9998983440595116,41.34909707119591,20.19441542499944,39.795362961919686,-0.005720331257874838,0.0014181776386957834
