parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z,alpha_rel,beta_rel,gamma_rel,spectral_slope
107,7Networks_LH_Limbic_TempPole_6-lh,lh,Limbic,0.0264281237083358,0.0222872415103168,0.0147086204033955,0.6083973897587964,0.6057601663794931,0.0153143715230311,0.5308683799533809,0.9998943385732508,1.0,1.0,208,-47.4509777497353,8.622316963813343,-30.74130548409761,0.11330880076273592,0.33155084147133934,0.18339791342049033,0.42428456545882587
108,7Networks_LH_Limbic_TempPole_7-lh,lh,Limbic,0.0256630144892905,0.0220770462876186,0.0144661613710204,0.6064194249153,0.6056439304362193,0.0104008577970165,0.5552041915127377,0.9998970644998112,1.0,1.0,208,-33.55322896501292,7.815340258841119,-26.289559712617294,0.12310187318103136,0.3380483024230558,0.1811282409982544,0.42372278068564795
109,7Networks_LH_Limbic_TempPole_8-lh,lh,Limbic,0.0199049567597671,0.0179355327191171,0.0088141614147334,0.6035734685770416,0.6034605420603751,0.006877058140451,0.6323950701736513,0.9998974544738668,1.0,1.0,208,-20.833664374048976,-22.47760446266105,-25.04633926841068,0.14687221735057115,0.34379330519686235,0.18146888502042258,0.40750017012771217
110,7Networks_LH_SalVentAttn_FrOperIns_1-lh,lh,SalVentAttn,0.0251734303185433,0.0227174833608101,0.0115164591277227,0.6028042827380372,0.601148813725023,0.0120175316341916,0.6673980084069254,0.9999035108986656,1.0,1.0,208,-44.27507714153524,-1.9691270553615543,-15.561208579821743,0.12818552264350314,0.306195474280865,0.1610267503943201,0.5564393792740572
111,7Networks_LH_SalVentAttn_FrOperIns_2-lh,lh,SalVentAttn,0.0257582072660649,0.0245440277111927,0.0102447287772356,0.6022038420934047,0.6020821940742545,0.0084447814378709,0.6254495835963405,0.999904257501093,1.0,1.0,208,-39.97043976865537,0.595864837537787,-6.664366941782386,0.13108027406337688,0.3082035214092299,0.1610589563369279,0.5473580593461077
112,7Networks_LH_SalVentAttn_FrOperIns_3-lh,lh,SalVentAttn,0.0349197916059566,0.0320019151841766,0.0171583083427192,0.602017569848376,0.6012999426325745,0.0102129407174191,0.6496964703568244,0.9999112501596846,1.0,1.0,208,-32.39046696366935,26.02637937874629,-0.3362175469819842,0.11810224361493311,0.2901144387570746,0.1509978834335663,0.5895635599779141
113,7Networks_LH_SalVentAttn_FrOperIns_4-lh,lh,SalVentAttn,0.0136499885442931,0.0115781126553438,0.0083422347609949,0.605995945322067,0.6055922965122729,0.0095368943305298,0.7350700630595836,0.9998857913236576,1.0,1.0,208,-40.23415162386142,-16.420856948315397,-3.941731276541112,0.14026995007757567,0.3667235017386235,0.1960728352559112,0.3355082122593414
114,7Networks_LH_SalVentAttn_FrOperIns_5-lh,lh,SalVentAttn,0.0200172678091885,0.0185845430563647,0.0090223886450589,0.6004406958940046,0.600010514170372,0.0088662923258572,0.7306505959113655,0.9999079931355054,1.0,1.0,208,-32.974421531985506,19.40142974371862,7.906767452124393,0.14432436968286572,0.32911873667907476,0.14724235847412848,0.5276987511664923
115,7Networks_LH_SalVentAttn_FrOperIns_6-lh,lh,SalVentAttn,0.0140341804797982,0.0130102233725937,0.0086743399277396,0.6026958671821813,0.6032392583745807,0.0056645233779575,0.7726401367703364,0.999893198631098,1.0,1.0,208,-35.928958713498886,4.822265129268403,10.04293815226976,0.1404233831485438,0.35917020646002173,0.17850814601233012,0.4029262195645339
116,7Networks_LH_SalVentAttn_FrOperIns_7-lh,lh,SalVentAttn,0.0096637464833639,0.007856797041815,0.008342313316542,0.6069549891948707,0.6062322112206215,0.010420204128108,0.8414410045991809,0.9998790797739654,1.0,1.0,208,-44.15241681496928,12.027876529637284,1.954714645833276,0.13441425625772668,0.3890747667401841,0.20899598941356012,0.2529693732622269
