parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z
164,7Networks_LH_SomMot_5-lh,lh,SomMot,0.016363758520780314,0.0153334721857605,0.007335153569683763,0.5962503729253985,0.5968714615034332,0.007004671718847593,0.8293995677514546,0.9999158872137636,1.0,1.0,208,-36.52532194769103,-26.759153874289897,17.119322231382032
165,7Networks_LH_SomMot_6-lh,lh,SomMot,0.009687081780555449,0.00810620414808775,0.007907260966883106,0.6029503568349053,0.6039685708781233,0.005572153690827207,0.8503050992774784,0.9998877861750649,1.0,1.0,208,-58.85225339873676,-37.719997849821056,14.647466864282077
166,7Networks_LH_SomMot_7-lh,lh,SomMot,0.020208935342058258,0.019219095731493,0.00728285022888382,0.596644299081003,0.5966072575821763,0.009549782926539914,0.7821196818851226,0.9999186593790008,1.0,1.0,208,-41.89994005826891,-34.98152779736212,12.694232993023492
167,7Networks_LH_SomMot_8-lh,lh,SomMot,0.014294559104262168,0.013275298365974051,0.007474050647144246,0.5995617238584999,0.5997925912993636,0.008993048057038844,0.8133551217564107,0.999905899813364,1.0,1.0,208,-47.326613596264544,-14.227169012377164,13.181350216885946
168,7Networks_LH_SomMot_9-lh,lh,SomMot,0.008780550537153577,0.0072501845525455005,0.007705357702123971,0.6070651563713434,0.6065082859094804,0.009833369337663801,0.8541705798054682,0.9998787315481812,1.0,1.0,208,-60.75959134706309,-4.318530817605345,10.313856801180773
169,7Networks_LH_Vis_1-lh,lh,Vis,0.016152786570284534,0.0143477039966858,0.00789519919790275,0.6065691250227346,0.6047131632132363,0.012785117169407124,0.6920358788153741,0.9998914278714754,1.0,1.0,208,-31.4309310791405,-41.7305473893453,-23.353852010419683
170,7Networks_LH_Vis_10-lh,lh,Vis,0.011939935000930681,0.0104066195106911,0.007211426316347042,0.60402139361737,0.6039418498155731,0.007450747713112671,0.7769993305395695,0.9998884493571161,1.0,1.0,208,-13.831584402089996,-61.93816955272968,-6.925084474659111
171,7Networks_LH_Vis_11-lh,lh,Vis,0.010622821436699795,0.0091225541291588,0.005955581490381763,0.6041307883813583,0.6043784139228059,0.007285176156083376,0.7954777205729179,0.9998876504653251,1.0,1.0,208,-7.6674930474741,-76.6371835941891,-6.423972532256983
172,7Networks_LH_Vis_12-lh,lh,Vis,0.006506957571520275,0.0049987588982827996,0.006473679719840051,0.6074792504144262,0.6076505996615866,0.004967081038747768,0.8605236236753331,0.9998686895670861,1.0,1.0,208,-24.88535555931016,-96.7344111954627,-12.331187576548398
173,7Networks_LH_Vis_13-lh,lh,Vis,0.010655815088674008,0.008685479154513901,0.00784151732168371,0.6061333334382323,0.6061698759256795,0.00643505572241734,0.8107942865831207,0.9998797889186631,1.0,1.0,208,-13.33588174859591,-44.53940906480609,-4.765169160052536
174,7Networks_LH_Vis_14-lh,lh,Vis,0.006582221266489564,0.00525334669339805,0.006437972925637174,0.6058999719674998,0.6068919589176753,0.005348172507075797,0.8822362857824788,0.9998740720195372,1.0,1.0,208,-39.96225601367736,-87.00389323226904,-5.55985734128598
175,7Networks_LH_Vis_15-lh,lh,Vis,0.007393607907478751,0.005693772053012899,0.005690539572058216,0.605147553569051,0.6060604783430387,0.008939304535567766,0.8669856558959343,0.9998786401008274,1.0,1.0,208,-10.10872519621048,-97.78456176792218,-3.886825971378868
176,7Networks_LH_Vis_16-lh,lh,Vis,0.012619422341448415,0.01145367527689365,0.007940274229355846,0.603063416374812,0.6030423112104326,0.007303755442057885,0.7543484552004949,0.9998900431127448,1.0,1.0,208,-15.482495665705253,-58.09110391465523,0.7895022529339805
177,7Networks_LH_Vis_17-lh,lh,Vis,0.007000224618532608,0.005395988058181599,0.007072209691733638,0.6051585385719767,0.6061504152475242,0.007381309807718408,0.8798832119535047,0.9998756127019289,1.0,1.0,208,-44.34436879345911,-72.90463907650104,1.5993256595568917
178,7Networks_LH_Vis_18-lh,lh,Vis,0.01093043251246471,0.009175721593959001,0.005175749286922759,0.5995963528686425,0.6004632599523896,0.007291679106341236,0.772993318179609,0.9998966775002428,1.0,1.0,208,-7.046712842381116,-88.08057260050357,3.616288670102469
179,7Networks_LH_Vis_19-lh,lh,Vis,0.007602699698947198,0.0056245235377491,0.006313709634333203,0.6038102073057523,0.6050874700439284,0.007983370111552547,0.8656870341255156,0.9998817878186516,1.0,1.0,208,-26.07193373999697,-94.43096102044936,3.78806229834965
